code,Field title
25820,"Volume of grey matter in Supramarginal Gyrus, posterior division (left)"
25821,"Volume of grey matter in Supramarginal Gyrus, posterior division (right)"
25854,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (left)"
25855,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (right)"
25856,"Volume of grey matter in Temporal Fusiform Cortex, posterior division (left)"
25857,"Volume of grey matter in Temporal Fusiform Cortex, posterior division (right)"
25858,Volume of grey matter in Temporal Occipital Fusiform Cortex (left)
25859,Volume of grey matter in Temporal Occipital Fusiform Cortex (right)
25796,Volume of grey matter in Temporal Pole (left)
25797,Volume of grey matter in Temporal Pole (right)
25878,Volume of grey matter in Thalamus (left)
25879,Volume of grey matter in Thalamus (right)
25895,Volume of grey matter in V Cerebellum (left)
25896,Volume of grey matter in V Cerebellum (right)
25897,Volume of grey matter in VI Cerebellum (left)
25899,Volume of grey matter in VI Cerebellum (right)
25898,Volume of grey matter in VI Cerebellum (vermis)
25909,Volume of grey matter in VIIIa Cerebellum (left)
25911,Volume of grey matter in VIIIa Cerebellum (right)
25910,Volume of grey matter in VIIIa Cerebellum (vermis)
25912,Volume of grey matter in VIIIb Cerebellum (left)
25914,Volume of grey matter in VIIIb Cerebellum (right)
25913,Volume of grey matter in VIIIb Cerebellum (vermis)
25906,Volume of grey matter in VIIb Cerebellum (left)
25908,Volume of grey matter in VIIb Cerebellum (right)
25907,Volume of grey matter in VIIb Cerebellum (vermis)
25890,Volume of grey matter in Ventral Striatum (left)
25891,Volume of grey matter in Ventral Striatum (right)
25918,Volume of grey matter in X Cerebellum (left)
25919,Volume of grey matter in X Cerebellum (vermis)
25920,Volume of grey matter in X Cerebellum (right)
